,Airline,Source,Destination,Total_Stops,Day,Month,Year,Dept_Hour,Dept_Minute,Arr_Hour,Arr_Minute,hoursMinutes,Price
3325,Air India,Kolkata,Banglore,2 stops,18,5,2019,50,50,12,30,1840,12723
3326,Air India,Kolkata,Banglore,1 stop,6,6,2019,0,0,13,15,1515,7662
3331,Air India,Mumbai,Hyderabad,1 stop,6,3,2019,10,10,21,15,905,16666
3334,Air India,Delhi,Cochin,1 stop,27,5,2019,0,0,19,15,735,9929
3341,Air India,Delhi,Cochin,1 stop,27,6,2019,20,20,9,25,965,7480
3345,Air India,Delhi,Cochin,1 stop,9,5,2019,5,5,9,25,1640,7480
3361,Air India,Banglore,Delhi,2 stops,15,3,2019,50,50,22,10,980,10111
3364,Air India,Kolkata,Banglore,1 stop,24,5,2019,50,50,7,55,905,8576
3389,Air India,Delhi,Cochin,2 stops,18,5,2019,0,0,7,40,1180,8603
3397,Air India,Chennai,Kolkata,non-stop,27,5,2019,40,40,13,55,135,4667
3420,Air India,Kolkata,Banglore,2 stops,21,5,2019,20,20,7,55,1415,11222
3428,Air India,Kolkata,Banglore,2 stops,24,3,2019,0,0,13,45,1845,12829
3438,Air India,Delhi,Cochin,2 stops,24,6,2019,15,15,7,40,1105,12497
3444,Air India,Kolkata,Banglore,1 stop,12,5,2019,30,30,16,15,1185,10203
3448,Air India,Banglore,Delhi,2 stops,12,3,2019,30,30,11,5,1655,11602
3452,Air India,Banglore,Delhi,non-stop,9,6,2019,10,10,8,55,165,6961
3460,Air India,Kolkata,Banglore,2 stops,6,5,2019,50,50,8,55,1625,10991
3462,Air India,Delhi,Cochin,1 stop,15,5,2019,30,30,9,25,1255,7480
3469,Air India,Kolkata,Banglore,2 stops,9,5,2019,50,50,13,45,1255,12592
3471,Air India,Chennai,Kolkata,non-stop,1,6,2019,40,40,13,55,135,4667
3473,Air India,Delhi,Cochin,1 stop,27,3,2019,0,0,19,15,375,6902
3476,Air India,Kolkata,Banglore,2 stops,24,3,2019,40,40,14,35,1975,11522
3477,Air India,Banglore,Delhi,non-stop,21,4,2019,20,20,16,10,170,6121
3487,Air India,Delhi,Cochin,2 stops,27,5,2019,20,20,19,15,1855,12488
3489,Air India,Delhi,Cochin,2 stops,3,6,2019,40,40,19,15,1595,9968
3496,Air India,Banglore,Delhi,3 stops,12,3,2019,45,45,18,5,2120,13387
3506,Air India,Kolkata,Banglore,non-stop,15,6,2019,15,15,16,45,150,5510
3516,Air India,Kolkata,Banglore,2 stops,21,5,2019,20,20,20,25,725,12324
3524,Air India,Delhi,Cochin,2 stops,27,5,2019,0,0,19,15,1275,10231
3536,Air India,Delhi,Cochin,2 stops,27,6,2019,55,55,19,15,500,11753
3545,Air India,Banglore,Delhi,2 stops,1,3,2019,50,50,11,10,1580,19372
3546,Air India,Mumbai,Hyderabad,non-stop,18,5,2019,20,20,7,40,80,3100
3563,Air India,Delhi,Cochin,2 stops,24,6,2019,0,0,19,15,1275,9181
3568,Air India,Kolkata,Banglore,3 stops,21,5,2019,50,50,23,15,805,14960
3570,Air India,Delhi,Cochin,2 stops,9,3,2019,40,40,19,15,1595,11911
3571,Air India,Delhi,Cochin,1 stop,15,6,2019,45,45,23,0,795,8907
3578,Air India,Kolkata,Banglore,non-stop,24,4,2019,45,45,23,20,155,4145
3580,Air India,Banglore,Delhi,1 stop,1,3,2019,0,0,23,10,370,11628
3589,Air India,Mumbai,Hyderabad,non-stop,18,6,2019,55,55,15,25,90,3100
3592,Air India,Kolkata,Banglore,1 stop,1,4,2019,50,50,21,5,675,8030
3595,Air India,Delhi,Cochin,1 stop,18,5,2019,45,45,9,25,1420,8372
3597,Air India,Delhi,Cochin,2 stops,18,5,2019,0,0,19,15,1275,11228
3598,Air India,Kolkata,Banglore,2 stops,1,5,2019,50,50,8,55,1385,13227
3604,Air India,Banglore,Delhi,non-stop,18,4,2019,10,10,8,55,165,5228
3606,Air India,Kolkata,Banglore,2 stops,1,5,2019,0,0,18,30,1830,10151
3614,Air India,Kolkata,Banglore,2 stops,6,5,2019,25,25,5,25,1200,17732
3629,Air India,Delhi,Cochin,1 stop,6,3,2019,0,0,7,40,1660,12940
3649,Air India,Delhi,Cochin,2 stops,21,5,2019,15,15,7,40,865,13039
3656,Air India,Kolkata,Banglore,1 stop,21,5,2019,25,25,21,50,745,8366
3659,Air India,Kolkata,Banglore,1 stop,9,4,2019,35,35,14,35,1440,5006
3660,Air India,Delhi,Cochin,1 stop,1,6,2019,30,30,9,25,1255,7480
3667,Air India,Delhi,Cochin,1 stop,3,3,2019,20,20,9,25,965,16352
3668,Air India,Delhi,Cochin,2 stops,9,6,2019,0,0,19,15,1275,10441
3676,Air India,Delhi,Cochin,1 stop,3,6,2019,0,0,7,40,640,8372
3687,Air India,Delhi,Cochin,1 stop,15,5,2019,50,50,19,15,925,8669
3695,Air India,Kolkata,Banglore,2 stops,9,5,2019,25,25,13,45,1700,12592
3698,Air India,Delhi,Cochin,2 stops,9,3,2019,0,0,19,15,1275,14851
3706,Air India,Kolkata,Banglore,1 stop,24,3,2019,30,30,23,15,1605,10808
3708,Air India,Mumbai,Hyderabad,non-stop,1,5,2019,30,30,20,45,75,3100
3713,Air India,Mumbai,Hyderabad,non-stop,27,5,2019,55,55,15,25,90,3625
3729,Air India,Delhi,Cochin,2 stops,12,6,2019,55,55,7,40,1245,11753
3730,Air India,Delhi,Cochin,2 stops,27,5,2019,30,30,19,15,1485,12488
3736,Air India,Delhi,Cochin,non-stop,21,6,2019,10,10,17,10,180,5201
3743,Air India,Delhi,Cochin,non-stop,27,6,2019,10,10,17,10,180,5201
3787,Air India,Banglore,Delhi,2 stops,1,3,2019,50,50,22,10,980,13576
3788,Air India,Banglore,Delhi,1 stop,1,3,2019,50,50,13,0,1510,15434
3793,Air India,Kolkata,Banglore,2 stops,12,6,2019,0,0,7,55,1195,9416
3795,Air India,Delhi,Cochin,1 stop,24,6,2019,0,0,19,15,555,9194
3798,Air India,Delhi,Cochin,1 stop,9,6,2019,45,45,23,0,795,8907
3799,Air India,Delhi,Cochin,2 stops,21,3,2019,15,15,19,15,1560,8770
3812,Air India,Delhi,Cochin,non-stop,3,4,2019,10,10,17,10,180,4729
3815,Air India,Delhi,Cochin,3 stops,21,3,2019,15,15,19,15,2280,9128
3817,Air India,Delhi,Cochin,1 stop,6,6,2019,40,40,9,25,765,7952
3821,Air India,Mumbai,Hyderabad,2 stops,12,3,2019,10,10,16,55,255,16172
3827,Air India,Delhi,Cochin,2 stops,15,6,2019,15,15,19,15,1380,13591
3833,Air India,Mumbai,Hyderabad,1 stop,6,3,2019,0,0,23,45,465,11678
3839,Air India,Banglore,Delhi,non-stop,24,6,2019,20,20,16,10,170,6961
3840,Air India,Delhi,Cochin,1 stop,9,3,2019,0,0,19,15,735,15704
3845,Air India,Delhi,Cochin,1 stop,12,6,2019,0,0,19,15,375,8372
3853,Air India,Banglore,Delhi,1 stop,1,3,2019,30,30,23,45,855,12704
3858,Air India,Kolkata,Banglore,2 stops,18,5,2019,25,25,18,20,535,8366
3862,Air India,Kolkata,Banglore,1 stop,12,6,2019,0,0,16,15,555,11936
3864,Air India,Delhi,Cochin,non-stop,21,4,2019,10,10,17,10,180,6934
3876,Air India,Delhi,Cochin,2 stops,15,5,2019,15,15,19,15,1560,13039
3882,Air India,Kolkata,Banglore,2 stops,24,3,2019,25,25,5,35,1210,11774
3889,Air India,Mumbai,Hyderabad,non-stop,24,5,2019,0,0,16,25,85,3100
3899,Air India,Delhi,Cochin,1 stop,27,3,2019,30,30,8,15,705,5998
3906,Air India,Delhi,Cochin,2 stops,12,6,2019,0,0,19,15,435,8603
3925,Air India,Kolkata,Banglore,1 stop,6,6,2019,50,50,21,5,675,7452
3940,Air India,Banglore,Delhi,1 stop,12,3,2019,50,50,8,55,1265,11707
3945,Air India,Mumbai,Hyderabad,3 stops,12,3,2019,50,50,12,25,1175,14260
3946,Air India,Delhi,Cochin,2 stops,27,6,2019,25,25,19,15,1730,13591
3948,Air India,Delhi,Cochin,2 stops,15,5,2019,20,20,7,40,1100,13538
3952,Air India,Chennai,Kolkata,non-stop,12,3,2019,40,40,13,55,135,7082
3966,Air India,Delhi,Cochin,2 stops,6,6,2019,0,0,19,15,2295,9653
3968,Air India,Kolkata,Banglore,1 stop,18,5,2019,0,0,11,5,965,6327
3975,Air India,Delhi,Cochin,2 stops,15,6,2019,20,20,7,40,1100,12121
3979,Air India,Delhi,Cochin,2 stops,27,6,2019,55,55,19,15,800,11386
3986,Air India,Mumbai,Hyderabad,non-stop,15,5,2019,30,30,20,45,75,3100
3990,Air India,Kolkata,Banglore,2 stops,21,5,2019,30,30,12,30,1320,15107
3991,Air India,Delhi,Cochin,1 stop,9,3,2019,0,0,19,15,1215,11260
3992,Air India,Delhi,Cochin,1 stop,27,5,2019,0,0,19,15,675,9929
3993,Air India,Delhi,Cochin,1 stop,21,3,2019,40,40,9,25,765,5642
3996,Air India,Kolkata,Banglore,2 stops,15,5,2019,30,30,13,45,1035,16057
4001,Air India,Kolkata,Banglore,2 stops,1,4,2019,50,50,13,15,445,5562
4014,Air India,Mumbai,Hyderabad,non-stop,3,3,2019,5,5,22,25,80,4937
4015,Air India,Delhi,Cochin,2 stops,27,6,2019,15,15,7,40,865,13039
4042,Air India,Banglore,Delhi,non-stop,6,4,2019,20,20,16,10,170,5176
4043,Air India,Delhi,Cochin,1 stop,15,6,2019,40,40,9,25,765,7480
4044,Air India,Kolkata,Banglore,2 stops,6,6,2019,50,50,12,30,1840,12723
4045,Air India,Kolkata,Banglore,1 stop,1,4,2019,10,10,13,15,245,5793
4047,Air India,Delhi,Cochin,2 stops,15,5,2019,0,0,19,15,2295,10493
4049,Air India,Delhi,Cochin,1 stop,27,5,2019,50,50,19,15,925,9719
4060,Air India,Kolkata,Banglore,2 stops,1,5,2019,10,10,21,50,760,12009
4079,Air India,Delhi,Cochin,2 stops,27,5,2019,0,0,19,15,435,9653
4097,Air India,Delhi,Cochin,1 stop,18,5,2019,30,30,23,0,1590,8907
4099,Air India,Banglore,Delhi,non-stop,3,3,2019,0,0,12,45,165,8588
4103,Air India,Kolkata,Banglore,2 stops,21,5,2019,0,0,18,30,1830,10151
4105,Air India,Delhi,Cochin,2 stops,18,5,2019,55,55,7,40,1245,13486
4108,Air India,Kolkata,Banglore,2 stops,24,3,2019,10,10,11,10,1560,15187
4112,Air India,Banglore,Delhi,1 stop,15,3,2019,15,15,8,50,1475,5521
4114,Air India,Banglore,Delhi,1 stop,9,3,2019,5,5,9,15,1330,11077
4116,Air India,Delhi,Cochin,2 stops,9,6,2019,15,15,19,15,1560,12392
4117,Air India,Mumbai,Hyderabad,1 stop,6,3,2019,55,55,22,0,965,10366
4118,Air India,Delhi,Cochin,3 stops,15,6,2019,15,15,19,15,2280,10703
4119,Air India,Delhi,Cochin,1 stop,9,5,2019,45,45,23,0,795,7174
4122,Air India,Kolkata,Banglore,2 stops,6,6,2019,45,45,8,55,970,14960
4125,Air India,Mumbai,Hyderabad,non-stop,27,6,2019,55,55,15,25,90,3100
4127,Air India,Delhi,Cochin,1 stop,1,4,2019,40,40,9,25,765,5117
4130,Air India,Delhi,Cochin,non-stop,18,3,2019,10,10,17,10,180,5674
4133,Air India,Banglore,Delhi,2 stops,6,3,2019,50,50,16,30,1900,14143
4136,Air India,Delhi,Cochin,2 stops,9,5,2019,25,25,19,15,1730,13591
4137,Air India,Mumbai,Hyderabad,non-stop,1,6,2019,30,30,20,45,75,3100
4147,Air India,Delhi,Cochin,2 stops,15,5,2019,0,0,19,15,1275,11281
4154,Air India,Kolkata,Banglore,non-stop,6,5,2019,45,45,23,20,155,4145
4156,Air India,Banglore,Delhi,1 stop,12,3,2019,50,50,19,50,480,11707
4175,Air India,Delhi,Cochin,2 stops,15,6,2019,15,15,9,25,1210,8839
4177,Air India,Delhi,Cochin,2 stops,6,6,2019,0,0,19,15,1395,11596
4178,Air India,Delhi,Cochin,1 stop,21,3,2019,0,0,19,15,675,7199
4184,Air India,Banglore,Delhi,1 stop,9,3,2019,50,50,23,10,980,5626
4185,Air India,Delhi,Cochin,1 stop,6,3,2019,0,0,19,15,735,15809
4190,Air India,Mumbai,Hyderabad,non-stop,27,6,2019,5,5,22,25,80,3100
4200,Air India,Delhi,Cochin,1 stop,27,5,2019,0,0,19,15,1395,8372
4211,Air India,Delhi,Cochin,2 stops,27,6,2019,45,45,19,15,1410,9653
4212,Air India,Delhi,Cochin,1 stop,6,3,2019,0,0,7,40,520,14777
4219,Air India,Banglore,Delhi,non-stop,15,6,2019,5,5,23,55,170,5228
4231,Air India,Kolkata,Banglore,2 stops,15,5,2019,50,50,12,30,1840,12723
4236,Air India,Kolkata,Banglore,2 stops,15,5,2019,50,50,13,45,1255,15532
4247,Air India,Kolkata,Banglore,2 stops,21,5,2019,0,0,21,50,590,10151
4250,Air India,Kolkata,Banglore,non-stop,6,5,2019,15,15,16,45,150,5510
4254,Air India,Delhi,Cochin,2 stops,6,3,2019,55,55,7,40,1545,15428
4259,Air India,Kolkata,Banglore,2 stops,9,5,2019,45,45,8,55,970,13227
4270,Air India,Kolkata,Banglore,2 stops,9,6,2019,50,50,8,55,1625,12723
4272,Air India,Banglore,Delhi,non-stop,3,5,2019,0,0,12,45,165,6121
4280,Air India,Delhi,Cochin,1 stop,1,4,2019,45,45,9,25,1420,5117
4287,Air India,Delhi,Cochin,2 stops,9,5,2019,45,45,19,15,1470,11942
4293,Air India,Kolkata,Banglore,2 stops,9,6,2019,0,0,18,30,1830,10151
4294,Air India,Delhi,Cochin,non-stop,21,6,2019,10,10,8,0,170,5201
4297,Air India,Kolkata,Banglore,1 stop,15,5,2019,25,25,21,50,745,8366
4303,Air India,Delhi,Cochin,non-stop,12,6,2019,10,10,17,10,180,5201
4307,Air India,Kolkata,Banglore,1 stop,15,5,2019,25,25,18,30,545,8891
4312,Air India,Delhi,Cochin,1 stop,18,5,2019,30,30,9,25,1255,7480
4314,Air India,Delhi,Cochin,1 stop,12,6,2019,30,30,23,0,1590,8907
4326,Air India,Delhi,Cochin,1 stop,3,4,2019,20,20,9,25,965,5117
4330,Air India,Mumbai,Hyderabad,non-stop,24,3,2019,55,55,15,25,90,2575
4331,Air India,Kolkata,Banglore,1 stop,24,5,2019,50,50,21,5,675,7662
4332,Air India,Kolkata,Banglore,1 stop,18,5,2019,25,25,21,50,745,8366
4336,Air India,Banglore,Delhi,non-stop,3,5,2019,5,5,23,55,170,6121
4351,Air India,Delhi,Cochin,1 stop,27,6,2019,45,45,9,25,1420,7480
4362,Air India,Kolkata,Banglore,2 stops,6,5,2019,50,50,20,25,875,10991
4375,Air India,Delhi,Cochin,non-stop,6,5,2019,10,10,17,10,180,6934
4396,Air India,Kolkata,Banglore,2 stops,6,6,2019,0,0,5,25,1345,12009
4402,Air India,Mumbai,Hyderabad,2 stops,6,3,2019,30,30,14,50,560,13757
4405,Air India,Delhi,Cochin,1 stop,9,5,2019,15,15,6,50,1535,6587
4410,Air India,Banglore,Delhi,non-stop,3,6,2019,20,20,16,10,170,6961
4414,Air India,Delhi,Cochin,2 stops,12,6,2019,45,45,19,15,1470,11732
4420,Air India,Kolkata,Banglore,2 stops,12,6,2019,50,50,8,55,1385,14960
4421,Air India,Delhi,Cochin,2 stops,12,6,2019,50,50,7,40,1490,13381
4428,Air India,Banglore,Delhi,1 stop,21,3,2019,15,15,8,50,1475,4943
4430,Air India,Kolkata,Banglore,1 stop,12,5,2019,50,50,21,5,675,8450
4435,Air India,Delhi,Cochin,2 stops,27,6,2019,55,55,19,15,1820,12646
4436,Air India,Kolkata,Banglore,1 stop,1,4,2019,30,30,12,0,930,7893
4437,Air India,Banglore,Delhi,non-stop,24,5,2019,0,0,19,45,165,7171
4439,Air India,Delhi,Cochin,non-stop,27,6,2019,5,5,21,10,185,5201
4444,Air India,Banglore,Delhi,non-stop,15,4,2019,10,10,8,55,165,5228
4445,Air India,Delhi,Cochin,1 stop,24,6,2019,0,0,19,15,615,9404
4463,Air India,Delhi,Cochin,3 stops,1,6,2019,15,15,19,15,2280,10703
4471,Air India,Mumbai,Hyderabad,non-stop,18,3,2019,5,5,22,25,80,2050
4483,Air India,Mumbai,Hyderabad,non-stop,27,5,2019,20,20,7,40,80,3100
4486,Air India,Mumbai,Hyderabad,non-stop,9,5,2019,5,5,22,25,80,3100
4490,Air India,Delhi,Cochin,non-stop,9,5,2019,10,10,8,0,170,5201
4498,Air India,Kolkata,Banglore,2 stops,12,5,2019,25,25,13,45,1700,12592
4499,Air India,Banglore,Delhi,non-stop,24,6,2019,5,5,23,55,170,6961
4511,Air India,Kolkata,Banglore,non-stop,27,6,2019,45,45,23,20,155,4145
4525,Air India,Delhi,Cochin,1 stop,9,6,2019,40,40,8,15,875,7468
4533,Air India,Delhi,Cochin,1 stop,6,6,2019,0,0,19,15,615,8372
4538,Air India,Banglore,Delhi,1 stop,3,3,2019,55,55,13,20,385,10924
4539,Air India,Delhi,Cochin,non-stop,27,5,2019,10,10,17,10,180,6934
4559,Air India,Kolkata,Banglore,2 stops,12,6,2019,0,0,5,25,1165,13532
4564,Air India,Kolkata,Banglore,2 stops,1,4,2019,25,25,10,30,1505,12009
4565,Air India,Delhi,Cochin,1 stop,15,5,2019,0,0,19,15,675,8372
4566,Air India,Delhi,Cochin,2 stops,15,6,2019,50,50,7,40,1490,13591
4577,Air India,Delhi,Cochin,1 stop,21,3,2019,20,20,9,25,965,6482
4588,Air India,Banglore,Delhi,non-stop,24,3,2019,20,20,16,10,170,4441
4592,Air India,Mumbai,Hyderabad,non-stop,3,4,2019,20,20,7,40,80,3100
4603,Air India,Kolkata,Banglore,2 stops,1,5,2019,0,0,13,45,1665,15164
4604,Air India,Delhi,Cochin,non-stop,6,6,2019,10,10,17,10,180,6094
4614,Air India,Banglore,Delhi,non-stop,15,5,2019,5,5,23,55,170,5228
4615,Air India,Banglore,Delhi,2 stops,18,3,2019,45,45,16,30,2025,10835
4618,Air India,Kolkata,Banglore,2 stops,6,5,2019,50,50,12,0,1810,11883
4622,Air India,Delhi,Cochin,2 stops,1,6,2019,0,0,19,15,1275,10861
4632,Air India,Delhi,Cochin,2 stops,6,3,2019,0,0,19,15,435,11858
4645,Air India,Mumbai,Hyderabad,non-stop,24,6,2019,20,20,7,40,80,3100
4650,Air India,Banglore,Delhi,1 stop,1,3,2019,30,30,11,20,1490,11528
4651,Air India,Kolkata,Banglore,2 stops,6,5,2019,0,0,1,20,1100,14083
4653,Air India,Kolkata,Banglore,2 stops,12,6,2019,50,50,13,15,445,7662
4655,Air India,Delhi,Cochin,3 stops,27,6,2019,15,15,19,15,2280,10703
4658,Air India,Delhi,Cochin,non-stop,12,5,2019,5,5,21,10,185,6304
4659,Air India,Mumbai,Hyderabad,2 stops,6,3,2019,0,0,11,55,1795,14219
4662,Air India,Kolkata,Banglore,2 stops,18,5,2019,50,50,20,25,875,12093
4664,Air India,Mumbai,Hyderabad,non-stop,12,5,2019,55,55,15,25,90,3100
4665,Air India,Banglore,Delhi,non-stop,12,5,2019,0,0,19,45,165,5438
4667,Air India,Kolkata,Banglore,2 stops,9,6,2019,25,25,1,20,955,11668
4672,Air India,Delhi,Cochin,2 stops,3,3,2019,30,30,19,15,1305,12497
4673,Air India,Delhi,Cochin,non-stop,21,6,2019,5,5,21,10,185,5411
4682,Air India,Mumbai,Hyderabad,non-stop,18,6,2019,0,0,16,25,85,3100
4690,Air India,Delhi,Cochin,2 stops,15,5,2019,50,50,7,40,1490,14431
4694,Air India,Kolkata,Banglore,1 stop,6,5,2019,0,0,9,50,890,6117
4704,Air India,Delhi,Cochin,1 stop,21,3,2019,0,0,19,15,1335,6587
4733,Air India,Delhi,Cochin,2 stops,6,6,2019,40,40,19,15,1595,9653
4739,Air India,Kolkata,Banglore,1 stop,24,5,2019,0,0,20,25,625,10413
4771,Air India,Delhi,Cochin,1 stop,3,3,2019,0,0,7,40,760,14777
4785,Air India,Banglore,Delhi,2 stops,3,3,2019,5,5,22,10,2105,11948
4787,Air India,Kolkata,Banglore,1 stop,15,5,2019,0,0,4,40,580,6117
4797,Air India,Banglore,Delhi,non-stop,18,5,2019,0,0,19,45,165,7171
4798,Air India,Delhi,Cochin,2 stops,27,6,2019,45,45,19,15,1470,11942
4803,Air India,Kolkata,Banglore,non-stop,1,5,2019,15,15,16,45,150,6245
4806,Air India,Mumbai,Hyderabad,non-stop,3,4,2019,30,30,20,45,75,2050
4809,Air India,Banglore,Delhi,non-stop,15,3,2019,10,10,23,55,165,8851
4810,Air India,Kolkata,Banglore,2 stops,6,6,2019,0,0,5,25,1165,13007
4814,Air India,Chennai,Kolkata,non-stop,9,5,2019,40,40,13,55,135,4667
4818,Air India,Banglore,Delhi,non-stop,21,4,2019,0,0,19,45,165,5438
4822,Air India,Kolkata,Banglore,2 stops,24,5,2019,0,0,1,20,1100,14083
4831,Air India,Kolkata,Banglore,1 stop,9,6,2019,0,0,20,25,805,10413
4834,Air India,Banglore,Delhi,non-stop,6,4,2019,10,10,8,55,165,5176
4845,Air India,Mumbai,Hyderabad,non-stop,21,3,2019,30,30,20,45,75,2575
4857,Air India,Kolkata,Banglore,1 stop,24,3,2019,25,25,18,30,545,10493
4858,Air India,Delhi,Cochin,2 stops,9,3,2019,0,0,19,15,1395,16111
4859,Air India,Delhi,Cochin,2 stops,9,6,2019,0,0,19,15,1275,10651
4863,Air India,Banglore,Delhi,2 stops,12,3,2019,50,50,16,20,1890,12778
4875,Air India,Kolkata,Banglore,1 stop,24,3,2019,0,0,13,40,1540,7742
4878,Air India,Kolkata,Banglore,1 stop,6,5,2019,25,25,18,30,545,8891
4881,Air India,Kolkata,Banglore,2 stops,1,4,2019,50,50,23,15,805,12125
4897,Air India,Banglore,Delhi,2 stops,3,3,2019,30,30,10,50,1640,12074
4903,Air India,Delhi,Cochin,2 stops,18,5,2019,45,45,19,15,1470,12940
4912,Air India,Delhi,Cochin,2 stops,9,3,2019,30,30,19,15,1305,11762
4929,Air India,Delhi,Cochin,2 stops,15,5,2019,55,55,7,40,1545,11543
4941,Air India,Delhi,Cochin,1 stop,6,3,2019,40,40,8,15,875,11038
4951,Air India,Banglore,Delhi,non-stop,6,5,2019,0,0,19,45,165,5228
4955,Air India,Kolkata,Banglore,2 stops,12,5,2019,0,0,1,20,1100,13243
4960,Air India,Kolkata,Banglore,2 stops,6,6,2019,20,20,18,30,610,10697
4964,Air India,Banglore,Delhi,non-stop,24,5,2019,5,5,23,55,170,5228
4965,Air India,Kolkata,Banglore,1 stop,24,5,2019,25,25,11,10,1545,8891
4984,Air India,Kolkata,Banglore,1 stop,21,5,2019,0,0,13,15,1515,7662
4988,Air India,Kolkata,Banglore,2 stops,6,6,2019,0,0,5,25,1165,12009
4990,Air India,Delhi,Cochin,non-stop,9,4,2019,10,10,8,0,170,4729
4991,Air India,Delhi,Cochin,non-stop,3,3,2019,10,10,8,0,170,7931
5009,Air India,Kolkata,Banglore,1 stop,6,5,2019,30,30,8,55,745,10203
5025,Air India,Kolkata,Banglore,2 stops,1,5,2019,25,25,13,45,1700,16372
5030,Air India,Delhi,Cochin,non-stop,27,4,2019,5,5,21,10,185,5411
5034,Air India,Delhi,Cochin,2 stops,15,6,2019,15,15,19,15,1800,12182
5046,Air India,Kolkata,Banglore,2 stops,12,5,2019,0,0,1,20,1100,12140
5049,Air India,Delhi,Cochin,1 stop,18,5,2019,0,0,7,40,1300,8372
5050,Air India,Kolkata,Banglore,3 stops,1,4,2019,45,45,23,15,1830,8607
5055,Air India,Banglore,Delhi,non-stop,27,5,2019,0,0,19,45,165,6961
5056,Air India,Delhi,Cochin,1 stop,18,5,2019,45,45,23,0,795,8907
5059,Air India,Delhi,Cochin,2 stops,15,5,2019,55,55,19,15,1820,13486
5060,Air India,Mumbai,Hyderabad,non-stop,6,6,2019,30,30,20,45,75,3100
5062,Air India,Delhi,Cochin,non-stop,24,4,2019,5,5,21,10,185,5201
5064,Air India,Delhi,Cochin,2 stops,6,6,2019,15,15,19,15,1380,13591
5066,Air India,Banglore,Delhi,1 stop,3,3,2019,15,15,23,10,895,6781
5073,Air India,Delhi,Cochin,2 stops,3,6,2019,20,20,7,40,1100,11911
5084,Air India,Banglore,Delhi,1 stop,3,3,2019,15,15,8,50,1475,6781
5097,Air India,Kolkata,Banglore,2 stops,6,5,2019,50,50,23,15,1045,11883
5103,Air India,Delhi,Cochin,1 stop,12,6,2019,40,40,8,15,875,8991
5106,Air India,Kolkata,Banglore,2 stops,24,5,2019,0,0,21,50,590,9941
5116,Air India,Delhi,Cochin,1 stop,27,4,2019,15,15,6,50,1535,6587
5118,Air India,Delhi,Cochin,2 stops,15,5,2019,45,45,19,15,1470,13307
5119,Air India,Mumbai,Hyderabad,non-stop,24,3,2019,0,0,16,25,85,2050
5133,Air India,Banglore,Delhi,2 stops,18,3,2019,25,25,10,35,1030,12568
5139,Air India,Delhi,Cochin,2 stops,27,5,2019,15,15,7,40,865,13879
5141,Air India,Delhi,Cochin,2 stops,9,5,2019,45,45,19,15,1410,10178
5148,Air India,Delhi,Cochin,1 stop,15,6,2019,50,50,19,15,925,9929
5150,Air India,Delhi,Cochin,non-stop,21,4,2019,10,10,8,0,170,6094
5158,Air India,Delhi,Cochin,1 stop,21,5,2019,15,15,6,50,1535,7480
5159,Air India,Kolkata,Banglore,1 stop,12,6,2019,0,0,16,15,375,11936
5164,Air India,Kolkata,Banglore,2 stops,1,5,2019,0,0,7,55,1195,10151
5172,Air India,Kolkata,Banglore,2 stops,9,6,2019,0,0,1,20,1100,13033
5182,Air India,Banglore,Delhi,1 stop,9,3,2019,0,0,13,20,920,8425
5188,Air India,Delhi,Cochin,1 stop,3,6,2019,40,40,9,35,955,7258
5190,Air India,Kolkata,Banglore,2 stops,1,5,2019,0,0,5,25,1165,13899
5201,Air India,Delhi,Cochin,2 stops,27,5,2019,15,15,19,15,1380,13381
5219,Air India,Kolkata,Banglore,2 stops,6,6,2019,0,0,1,20,920,13033
5222,Air India,Banglore,Delhi,2 stops,12,3,2019,50,50,10,15,1525,12778
5226,Air India,Kolkata,Banglore,2 stops,12,5,2019,0,0,7,55,1195,10676
5229,Air India,Delhi,Cochin,2 stops,27,3,2019,15,15,7,40,865,8367
5238,Air India,Delhi,Cochin,1 stop,9,6,2019,0,0,7,40,640,8372
5245,Air India,Kolkata,Banglore,2 stops,21,5,2019,30,30,23,15,525,15107
5250,Air India,Delhi,Cochin,2 stops,21,3,2019,40,40,19,15,1595,8236
5255,Air India,Delhi,Cochin,1 stop,1,6,2019,40,40,9,25,765,7480
5259,Air India,Kolkata,Banglore,1 stop,1,4,2019,0,0,9,50,890,4227
5260,Air India,Delhi,Cochin,2 stops,21,3,2019,0,0,7,40,1180,9706
5288,Air India,Delhi,Cochin,1 stop,21,5,2019,0,0,19,15,675,8372
5294,Air India,Banglore,Delhi,non-stop,1,4,2019,5,5,23,55,170,4441
5303,Air India,Kolkata,Banglore,2 stops,24,5,2019,50,50,13,45,1255,12802
5309,Air India,Mumbai,Hyderabad,2 stops,6,3,2019,10,10,16,55,255,17327
5310,Air India,Delhi,Cochin,2 stops,27,3,2019,5,5,7,40,1115,8892
5318,Air India,Delhi,Cochin,2 stops,27,6,2019,15,15,19,15,1380,13591
5325,Air India,Delhi,Cochin,1 stop,9,6,2019,40,40,9,25,765,7690
5329,Air India,Kolkata,Banglore,1 stop,12,5,2019,30,30,8,55,745,10203
5334,Air India,Kolkata,Banglore,1 stop,6,5,2019,35,35,15,20,1485,6528
5339,Air India,Delhi,Cochin,2 stops,15,5,2019,0,0,7,40,1180,10651
5348,Air India,Banglore,Delhi,non-stop,1,5,2019,0,0,12,45,165,6121
