Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Multiple carriers,06-06-2019,Delhi,Cochin,DEL ? HYD ? COK,07:05,16:10,9h 5m,1 stop,No info,9646
Multiple carriers,03-06-2019,Delhi,Cochin,DEL ? BOM ? COK,08:30,19:15,10h 45m,1 stop,No info,7677
IndiGo,01-06-2019,Delhi,Cochin,DEL ? BLR ? COK,05:10,10:05,4h 55m,1 stop,No info,6842
Jet Airways,24-06-2019,Mumbai,Hyderabad,BOM ? HYD,08:45,10:15,1h 30m,non-stop,In-flight meal not included,4995
Vistara,09-06-2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,18:50,11h 40m,1 stop,No info,9555
IndiGo,01-06-2019,Banglore,Delhi,BLR ? DEL,01:30,04:15,2h 45m,non-stop,No info,4077
Jet Airways,12-05-2019,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,No info,7229
Multiple carriers,09-06-2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:00,10h,1 stop,No info,12192
Air India,12-04-2019,Banglore,Delhi,BLR ? DEL,10:00,12:45,2h 45m,non-stop,No info,5911
Air India,12-06-2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:15,10h 15m,1 stop,No info,8372
Jet Airways,18-03-2019,Mumbai,Hyderabad,BOM ? HYD,07:10,08:35,1h 25m,non-stop,In-flight meal not included,4995
Multiple carriers,09-05-2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,19:15,9h 15m,1 stop,No info,14323
Jet Airways,09-06-2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,10-06-2023 04:25,22h 55m,2 stops,No info,13014
Air India,06-06-2019,Delhi,Cochin,DEL ? CCU ? BOM ? COK,14:25,07-06-2023 19:15,28h 50m,2 stops,No info,13591
Jet Airways,03-03-2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,05:25,04-03-2023 18:50,37h 25m,2 stops,No info,18799
IndiGo,27-04-2019,Banglore,Delhi,BLR ? DEL,23:30,28-04-2023 02:20,2h 50m,non-stop,No info,3943
SpiceJet,21-05-2019,Mumbai,Hyderabad,BOM ? HYD,05:45,07:15,1h 30m,non-stop,No check-in baggage included,1965
Jet Airways,27-05-2019,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,4995
Air India,24-03-2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:50,25-03-2023 18:30,25h 40m,1 stop,No info,14641
Air India,12-04-2019,Kolkata,Banglore,CCU ? BLR,20:45,23:20,2h 35m,non-stop,No info,4460
Air India,18-05-2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,19:15,6h 15m,1 stop,No info,10191
Jet Airways,09-03-2019,Delhi,Cochin,DEL ? BOM ? COK,02:15,19:45,17h 30m,1 stop,In-flight meal not included,13843
IndiGo,01-05-2019,Delhi,Cochin,DEL ? LKO ? COK,21:50,02-05-2023 03:35,5h 45m,1 stop,No info,6349
Air Asia,01-05-2019,Kolkata,Banglore,CCU ? BLR,10:20,12:55,2h 35m,non-stop,No info,4409
Jet Airways,06-03-2019,Delhi,Cochin,DEL ? BOM ? COK,18:15,07-03-2023 19:45,25h 30m,1 stop,No info,17024
Multiple carriers,18-05-2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,21:00,13h 55m,1 stop,No info,13727
IndiGo,15-03-2019,Banglore,New Delhi,BLR ? DEL,18:25,21:20,2h 55m,non-stop,No info,8855
Multiple carriers,24-06-2019,Delhi,Cochin,DEL ? BOM ? COK,08:45,19:00,10h 15m,1 stop,No info,12524
Jet Airways,18-03-2019,Banglore,New Delhi,BLR ? BOM ? DEL,11:40,20:20,8h 40m,1 stop,No info,13555
Jet Airways,06-06-2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,12:00,5h 30m,1 stop,In-flight meal not included,10844
Multiple carriers,09-06-2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,21:00,12h,1 stop,No info,13587
SpiceJet,12-06-2019,Chennai,Kolkata,MAA ? CCU,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3543
Vistara,18-03-2019,Chennai,Kolkata,MAA ? CCU,07:05,09:20,2h 15m,non-stop,No info,4842
IndiGo,24-04-2019,Banglore,Delhi,BLR ? DEL,23:30,25-04-2023 02:20,2h 50m,non-stop,No info,3943
Jet Airways,09-06-2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,10-06-2023 04:25,9h 10m,1 stop,In-flight meal not included,10577
IndiGo,15-05-2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,21:00,10h 25m,1 stop,No info,6979
Vistara,27-06-2019,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,non-stop,No info,11982
SpiceJet,06-06-2019,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,4h 30m,1 stop,No info,5264
